_id,numerocontrato,anocontrato,orgaocontratante,objetocontrato,origemcontrato,sequencialcompra,cnpjcontratado,cpfcontratado,razaonomecontratado,logradouroendcontratado,numeroendcontratado,complementoendcontratado,bairroendcontratado,cidadeendcontratado,estadoendcontratado,datainiciovigencia,datafimvigencia,valorcontrato1,valorcontrato2,situacaocontrato
1,2901.0339/2004,2004,"SECRETARIA DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS, JUVENTUDE E POLÍTICAS SOBRE DROGAS","LOCAÇÃO DO IMÓVEL NÃO RESIDENCIAL, LOCALIZADO NA RUA GERVÁSIO PIRES, N° 829 NO BAIRRO DE SANTO AMARO, ONDE ESTÁ INSTALADA A SEDE DO CONSELHO TUTELAR DE RPA - 01.",DISPENSA,,12859864000142,,CONSELHO PASTORAL DOS PESCADORES,"",,"","","","",2004-10-01T00:00:00,2004-12-31T00:00:00,5100.0,1700.0,CADASTRADO
2,6101.0001/2013,2013,AUTARQUIA MUNICIPAL DE PREVIDÊNCIA E ASSISTÊNCIA À SAÚDE DOS SERVIDORES - RECIPREV,"SERVIÇO DE GERENCIAMENTO DO ABASTECIMENTO DE COMBUSTÍVEIS, , DE GESTÃO DE FROTA COM A AQUISIÇÃO DE COMBUSTÍVEIS, ATRAVÉS DA TECNOLOGIA DE CARTÃO ELETRÔNICO COM CHIP OU TECNOLOGIA (RFID).",LICITAÇÃO,200,8201104000176,,PETROCARD ADMINISTRADORA DE CREDITO LTDA,RUA SENADOR JOSE HENRIQUE,224,ED. ALF. NOBEL 2203,ILHA DO LEITE,RECIFE,PE,2014-01-14T00:00:00,2015-01-13T00:00:00,19720.44,19720.44,ENCERRADO
3,6101.0003/2013,2013,AUTARQUIA MUNICIPAL DE PREVIDÊNCIA E ASSISTÊNCIA À SAÚDE DOS SERVIDORES - RECIPREV,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA, PRAZO DE 12 (DOZE) MESES, SENDO 04 (QUATRO) POSTOS DE VIGILÂNCIA ARMADA E 01 (UM) POSTO DE VIGILÂNCIA DESARMADA.",LICITAÇÃO,166,42035097000207,,GUARDSECURE SEGURANCA EMPRESARIAL LTDA,AVENIDA DA  INTEGRACAO,927,LOTE 07 QDA E,VILA EDUARDO,PETROLINA,PE,2013-02-01T00:00:00,2014-02-10T00:00:00,291199.56,291199.56,ENCERRADO
4,6101.0011/2013,2013,AUTARQUIA MUNICIPAL DE PREVIDÊNCIA E ASSISTÊNCIA À SAÚDE DOS SERVIDORES - RECIPREV,CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE PESQUISA PARA REALIZAÇÃO DE UM ESTUDO DO PERFIL DOS BENEFICIÁRIOS DO SAÚDE RECIFE NO ANO 2013.,LICITAÇÃO,1043,8255393000196,,FOCO OPINIÃO E MERCADO LTDA EPP,RUA DAS  ACACIAS,237,CASA,SACO DOS LIMOES,FLORIANOPOLIS,SC,2013-09-24T00:00:00,2014-09-23T00:00:00,44325.5,44325.5,ENCERRADO
5,1401.0041/2013,2013,SECRETARIA DE EDUCAÇÃO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA CONFECÇÃO DE MATERIAL GRÁFICO, LOTE I DE ACORDO COM AS ESPECIFICAÇÕES CONSTANTES DO TERMO DE REFERÊNCIA EM ANEXO AO EDITAL E EM CONFORMIDADE COM AS REGRAS DE AQUISIÇÃO ESTABELECIDAS PELO BANCO MUNDIAL - BIRD, CONFORME TABELA ABAIXO: 30 BANNER 5 COM 2,00M X 0,70M NO VALOR DE R$ 27,00 CADA; 20 BANNER 1,00M X 0,80M NO VALOR DE R$ 15,00 CADA; 30 BANNER NO VALOR DE R$ 470,00 CADA.",LICITAÇÃO,284,758606000190,,MXM GRAFICA E EDITORA LTDA,AVENIDA CHICO SCIENCE,301,AV. CHICO SCIENCE,BULTRINS,OLINDA,PE,2013-04-16T00:00:00,2013-05-16T00:00:00,15210.0,15210.0,CADASTRADO
6,1401.0042/2013,2013,SECRETARIA DE EDUCAÇÃO,"CONFECÇÃO DE MATERIAL GRÁFICA, LOTE II, DE ACORDO COM AS ESPECIFICAÇÕES CONSTANTES DO TERMO DE REFERÊNCIA EM ANEXO AO EDITAL E CONFORMIDADE COM AS REGRAS DE AQUISIÇÃO ESTABELECIDAS PELO BANCO MUNDIAL - BIRD / 30.000 FOLDER 1 - 10.000 CARTILHA 1 - 50.000 CARTÃO 1 - 15.000 CARTÃO 2 - 5.000 CARTAZ 1 - 5.000 CARTAZ 2 - 5.000 ENVELOPE 1 - 5.000 ENVELOPE 2 - 3.000 CERTIFICADO 1 - 30.000 FOLDER 1 - 20.000 FOLDER 2 - 50.000 FOLDER 3 - 15.000 FOLDER 4 - 30.000 FOLDER 5 - 15.000 CARTILHA 1 - 1.000 CARTILHA 2 - 10.000 CAPAS DE PROCESSO COM BOLSO - 2.400 IMPRESSOS (CERTIFICADO/DIPLOMA - 21X29,7CM) - 2.400 IMPRESSOS (CERTIFICADO/DIPLOMA - 15X21CM) - 600 CRACHÁ.",LICITAÇÃO,284,7211171000109,,JOYCE KAREN FRANCISCA DE MELO - ME,AVENIDA MANOLO CORTIZO,5327,"",CANDEIAS,JABOATAO DOS GUARARAPES,PE,2013-04-16T00:00:00,2013-07-15T00:00:00,51148.0,51148.0,CADASTRADO
7,5301.0003/2013,2014,AUTARQUIA DE SANEAMENTO DO RECIFE - SANEAR,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE PASSAGENS AÉREAS NACIONAIS E INTERNACIONAIS.,SARP,819,1294543000121,,LUZI PASSAGENS TURISMO LOCACAO E REPRESENTACAOES LTDA ME,RUA PADRE CARAPUCEIRO,968,SALA 1306,BOA VIAGEM,RECIFE,PE,2013-09-10T00:00:00,2014-09-09T00:00:00,25000.0,25000.0,ENCERRADO
8,5301.0007/2013,2014,AUTARQUIA DE SANEAMENTO DO RECIFE - SANEAR,"AQUISIÇÃO DE SOLUÇÃO CORPORATIVA PARA REDE WI-FI, NA AUTARQUIA DE SANEAMENTO DO RECIFE  SANEAR, COM ACCESS POINT DUAL BAND INDOOR E OUTDOOR E INJETOR DE ENERGIA",SARP,761,9002672000100,,SMARTWAVE NETWORKS DO BRASIL LTDA,AVENIDA FAGUNDES FILHO,145,CONJ. 144,VILA MONTE ALEGRE,SAO PAULO,SP,2013-09-25T00:00:00,2013-12-24T00:00:00,7650.0,7650.0,ENCERRADO
9,5301.0013/2013,2014,AUTARQUIA DE SANEAMENTO DO RECIFE - SANEAR,"SERV. GERENC. ABASTECIM. COMBUSTÍVEIS DA FROTA VEÍCULOS LOC. PELA SANEAR, ATRAVÉS DE SISTEMA DE GESTÃO DA FROTA E AQUIS. DE COMBUSTÍVEIS ATRAVÉS CARTÃO ELETRÔNICO COM CHIP OU TECNOLOGIA RFID.",SARP,1720,8201104000176,,PETROCARD ADMINISTRADORA DE CREDITO LTDA,RUA SENADOR JOSE HENRIQUE,224,ED. ALF. NOBEL 2203,ILHA DO LEITE,RECIFE,PE,2013-12-30T00:00:00,2014-12-29T00:00:00,54000.245,54000.245,ENCERRADO
10,6101.0002/2014,2014,AUTARQUIA MUNICIPAL DE PREVIDÊNCIA E ASSISTÊNCIA À SAÚDE DOS SERVIDORES - RECIPREV,AQUISIÇÃO DE GARRAFÃO DE ÁGUA MINERAL DE 20 LITROS,SARP,1784,5890335000146,,CRISTIANE DIAS DE ARAUJO  EPP,RUA DOUTOR LISBAO COUTINHO,100,"",PEIXINHOS,OLINDA,PE,2014-01-10T00:00:00,2015-01-09T00:00:00,2275.0,2275.0,ENCERRADO
11,6101.0004/2014,2014,AUTARQUIA MUNICIPAL DE PREVIDÊNCIA E ASSISTÊNCIA À SAÚDE DOS SERVIDORES - RECIPREV,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS TERCEIRIZADOS DE MÃO-DE-OBRA DE 05 (CINCO) AUXILIARES DE SERVIÇOS GERAIS, PERFAZENDO 44 (QUARENTA E QUATRO) HORAS SEMANAIS.",SARP,1945,2633573000188,,AJ SERVICOS DE MAO DE OBRA EIRELI,AVENIDA DOUTOR JOSE AUGUSTO MOREIRA,996,SALA 08,CASA CAIADA,OLINDA,PE,2014-06-01T00:00:00,2015-05-31T00:00:00,155890.2,155890.2,ENCERRADO
12,6101.0013/2013,2014,AUTARQUIA MUNICIPAL DE PREVIDÊNCIA E ASSISTÊNCIA À SAÚDE DOS SERVIDORES - RECIPREV,LOCAÇÃO DE VEÍCULO,SARP,947,63798490000133,,LOCAVEL SERVICOS LTDA,RUA CONEGO JERONIMO PIMENTEL,156,"",UMARIZAL,BELEM,PA,2013-12-09T00:00:00,2014-12-08T00:00:00,17758.8,17758.8,ENCERRADO
13,2401.0033/2014,2014,CONTROLADORIA GERAL DO MUNICÍPIO,CONTRATAÇÃO DE MOTORISTA,SARP,1976,10673010000141,,FENIX MERCANTIL INCORPORADORA E TERCEIRIZACAO EIRELI ME,RUA SANSAO RIBEIRO,68,"",BOA VIAGEM,RECIFE,PE,2014-02-01T00:00:00,2015-01-31T00:00:00,42612.0,42612.0,ENCERRADO
14,2401.0070/2014,2014,CONTROLADORIA GERAL DO MUNICÍPIO,PRESTAÇÃO DE SERVIÇO TERCEIRIZADOS DE MÃO DE OBRA DE COPEIRA,SARP,2120,2633574000122,,PERNAMBUCO CONSERVADORA EIRELI,RUA JACIRA,198,"",AFOGADOS,RECIFE,PE,2014-05-01T00:00:00,2015-04-30T00:00:00,22073.28,22073.28,ENCERRADO
